,grid_index,avg,people,lon,lat
82,82,77806.28100740744,4.534963199999999,127.02862065042098,37.532948256562136
83,83,77806.28100740744,4.534963199999999,127.02975204394755,37.53294825114265
84,84,77806.28100740744,4.534963199999999,127.03088343747405,37.532948245723155
85,85,77806.28100740744,4.534963199999999,127.03201483100047,37.532948240303654
86,86,77806.28100740744,4.534963199999999,127.0331462245268,37.53294823488416
87,87,77806.28100740744,4.534963199999999,127.03427761805305,37.532948229464665
88,88,77806.28100740744,4.534963199999999,127.03540901157922,37.53294822404517
89,89,77806.28100740744,4.534963199999999,127.03654040510531,37.53294821862568
90,90,77806.28100740744,4.534963199999999,127.03767179863132,37.53294821320619
91,91,77806.28100740744,4.534963199999999,127.03880319215725,37.532948207786696
92,92,77806.28100740744,4.534963199999999,127.03993458568308,37.5329482023672
